,fileid,age,mlu,utterance
0,Braunwald/4-03-07.xml,51,[4.6722689075630255], seven years and zero days 
0,Brent/i1/i1-0930.xml,10,[0], okay it s going to zero 
1,Brent/i1/i1-1207.xml,12,[1.0], here s zero 
2,Brent/i1/i1-1207.xml,12,[1.0], put zero in his spot 
3,Brent/i1/i1-1207.xml,12,[1.0], at two six zero one whitney avenue 
4,Brent/w1/w1-1206.xml,[None],[0], three zero nine     
5,Brent/w3/w3-1316.xml,14,[1.2105263157894737], zero 
0,Brown/Adam/adam17.xml,35,[3.941265060240964], zero 
1,Brown/Adam/adam19.xml,36,[4.303398058252427], five four three two one zero blast 
2,Brown/Adam/adam19.xml,36,[4.303398058252427], that s five four three two one zero 
3,Brown/Adam/adam47.xml,52,[5.945668135095448], it says six five four two zero seven 
4,Brown/Adam/adam47.xml,52,[5.945668135095448], seven five four two zero seven 
5,Brown/Eve/eve15.xml,25,[4.913127413127413], the zero 
6,Brown/Sarah/sarah035.xml,35,[2.615], zero o 
7,Brown/Sarah/sarah055.xml,40,[3.294478527607362], um looks like an zero to me 
8,Brown/Sarah/sarah055.xml,40,[3.294478527607362], oh you give me the zero now 
9,Brown/Sarah/sarah104.xml,52,[4.288135593220339], is it an zero 
10,Brown/Sarah/sarah114.xml,55,[4.4124293785310735], i guess that is zero 
11,Brown/Sarah/sarah115.xml,55,[4.569377990430622], well now you have to go make a zero 
12,Brown/Sarah/sarah115.xml,55,[4.569377990430622], well no you have to go make a zero 
13,Brown/Sarah/sarah115.xml,55,[4.569377990430622], what do you want   or zero 
14,Brown/Sarah/sarah115.xml,55,[4.569377990430622], oh you re zero huh 
15,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re a zero 
16,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re supposed to put the zero here so you can win 
17,Brown/Sarah/sarah115.xml,55,[4.569377990430622], there see if you put the zero there you would win 
18,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re gonna put it in there the zero 
19,Brown/Sarah/sarah115.xml,55,[4.569377990430622], see you should o put that zero down there so i couldn t win 
20,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or an o 
21,Brown/Sarah/sarah136.xml,61,[5.21505376344086], no zero or an   
22,Brown/Sarah/sarah136.xml,61,[5.21505376344086], oh okay i ll take zero 
23,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], you ll have a zero 
0,Clark/shem10.xml,29,[4.9109947643979055], there it goes to zero 
1,Clark/shem11.xml,29,[6.4068627450980395], yeah this stopped all the little numbers stopped at zero 
2,Clark/shem14.xml,30,[6.509025270758123], yeah it goes back to zero 
3,Clark/shem14.xml,30,[6.509025270758123], oh there it goes it going on to zero now see 
4,Clark/shem16.xml,31,[6.876923076923077], you re turning it to zero 
5,Clark/shem19.xml,32,[8.252225519287833], zero zero zero zero zero zero zero 
6,Clark/shem38.xml,37,[8.495145631067961], now we re gonna do a c for cindy and z for zero 
0,Cornell/lsno121.xml,60,[5.175438596491228], jessica is zero 
1,Cornell/mom0502.xml,[None],[0], no five and a dot then you put a zero 
2,Cornell/mom0502.xml,[None],[0], why does it say one two zero zero 
3,Cornell/mom07.xml,[None],[0], it s almost below zero 
4,Cornell/mom07.xml,[None],[0], where s your zero 
5,Cornell/mom07.xml,[None],[0], why d you put a zero may i ask 
0,Gathercole/07.xml,[None],[0], zero 
1,Gathercole/07.xml,[None],[0], zero 
2,Gathercole/08.xml,[None],[0], no you re you re zero 
3,Gathercole/08.xml,[None],[0], you re zero 
4,Gathercole/08.xml,[None],[0], how come you re zero 
0,Gleason/Father/charlie.xml,36,[4.266666666666667], zero if it s a number right 
1,Gleason/Father/charlie.xml,36,[4.266666666666667], oh that s a zero 
2,Gleason/Father/charlie.xml,36,[4.266666666666667], five and zero 
3,Gleason/Father/charlie.xml,36,[4.266666666666667], when you see five and zero together it s a fifty 
4,Gleason/Father/charlie.xml,36,[4.266666666666667], zero 
5,Gleason/Father/eddie.xml,[None],[3.986899563318777], okay hit that zero 
6,Gleason/Father/guy.xml,37,[3.1677018633540373], zero 
7,Gleason/Father/guy.xml,37,[3.1677018633540373], zero 
8,Gleason/Father/guy.xml,37,[3.1677018633540373], zero means that we would get it for nothing 
9,Gleason/Father/guy.xml,37,[3.1677018633540373], do you know what five zero says 
10,Gleason/Father/guy.xml,37,[3.1677018633540373], and what s five zero 
11,Gleason/Father/helen.xml,59,[5.256756756756757], zero 
12,Gleason/Mother/helen.xml,59,[4.792642140468227], no that s zero 
13,Gleason/Mother/isadora.xml,42,[4.064655172413793], that s a zero 
14,Gleason/Mother/martin.xml,30,[2.930817610062893], that s number one zero 
15,Gleason/Mother/theresa.xml,48,[5.557620817843866], that s a zero 
16,Gleason/Mother/theresa.xml,48,[5.557620817843866], that s zero 
17,Gleason/Mother/theresa.xml,48,[5.557620817843866], for zero i ll take it 
0,HSLLD/HV1/MT/jesmt1.xml,43,[5.338028169014085], and zero was standing at zero feet     
1,HSLLD/HV1/MT/kevmt1.xml,46,[3.978723404255319], was that the kid gets off mom wants the the zero and the the thing goes like that 
2,HSLLD/HV1/TP/nedtp1.xml,59,[3.1666666666666665], four two seven one o zero one no four two seven two one seven five 
3,HSLLD/HV1/TP/shotp1.xml,43,[3.4953271028037385], zero 
4,HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], zero on the floor 
5,HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], zero on the floor 
6,HSLLD/HV2/MT/rosmt2.xml,57,[5.1976744186046515], maybe she s a three with a zero after the three 
7,HSLLD/HV2/TP/nictp2.xml,53,[3.3838862559241707], that s a one and a zero 
8,HSLLD/HV3/MT/anamt3.xml,70,[5.03125], eight eight nine one one zero zero three 
9,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], add a zero 
10,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], put a zero ne t to fourteen chi 
11,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], just add a zero 
12,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], i know he does the concept of adding the zero um to 
13,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], i know but then i said put the zero after the four 
14,HSLLD/HV5/MT/trimt5.xml,89,[8.511111111111111], less than zero 
15,HSLLD/HV5/MT/vicmt5.xml,90,[7.762711864406779], www they take about size zero and a half 
16,HSLLD/HV5/MT/vicmt5.xml,90,[7.762711864406779], i mean below zero and a half 
17,HSLLD/HV7/MD/anamd7.xml,[None],[0], i ll be a zero www 
18,HSLLD/HV7/MD/jammt7.xml,124,[7.396341463414634], it doesn t start at zero 
19,HSLLD/HV7/MT/rosmt7.xml,117,[5.615384615384615], zero or marco or what 
0,Hall/BlackPro/anc.xml,57,[5.887884267631103], it makes it that much even sweeter sixseeing as to she got zero this year nothing at all 
1,Hall/BlackPro/jaf.xml,57,[4.363957597173145], the plane arrives at four zero one 
2,Hall/BlackPro/trh.xml,57,[7.090737240075614], ten nine seven six five four three two one zero blas off 
3,Hall/BlackPro/trh.xml,57,[7.090737240075614], zero sisters 
4,Hall/WhitePro/job.xml,57,[7.728278041074249], so we re batting zero on that eh 
5,Hall/WhiteWork/mig.xml,57,[5.823569482288828], put the nine and then the zero 
6,Hall/WhiteWork/mig.xml,57,[5.823569482288828], no no the zero goes after 
7,Hall/WhiteWork/mig.xml,57,[5.823569482288828], is one more than zero 
8,Hall/WhiteWork/mig.xml,57,[5.823569482288828], okay one is more than zero so it means what 
0,MacWhinney/65a1.xml,69,[6.735632183908046], two zero two zero 
1,MacWhinney/65a1.xml,69,[6.735632183908046], zero 
2,MacWhinney/65a1.xml,69,[6.735632183908046], two zero five one 
3,MacWhinney/76a1.xml,78,[7.2105263157894735], just press one button and it does all those numbers that you punch you know eight zero zero five six three two nine four eight 
4,MacWhinney/76b1.xml,78,[8.909090909090908], zero 
5,MacWhinney/76b1.xml,78,[8.909090909090908], zero 
0,Post/Lew/lew02.xml,24,[1.6917808219178083], three five zero 
1,Post/Lew/lew02.xml,24,[1.6917808219178083], mash the five now the zero 
2,Post/Lew/lew02.xml,24,[1.6917808219178083], you can mash all at once three five zero 
3,Post/Tow/tow01.xml,19,[1.871212121212121], zero 
0,Providence/Alex/ale09.xml,21,[1.6873239436619718], zero 
1,Providence/Alex/ale10.xml,21,[1.9292035398230087], what s zero 
2,Providence/Alex/ale14.xml,23,[1.4817518248175183], thaza that is a zero 
3,Providence/Alex/ale14.xml,23,[1.4817518248175183], o oh zero 
4,Providence/Alex/ale14.xml,23,[1.4817518248175183], where s your zero 
5,Providence/Alex/ale14.xml,23,[1.4817518248175183], zero 
6,Providence/Alex/ale19.xml,26,[1.7857142857142858], zero 
7,Providence/Alex/ale35.xml,33,[2.6504065040650406], zero nine zero seven 
8,Providence/Alex/ale37.xml,34,[2.669826224328594], what s that supposed to be oh a zero 
9,Providence/Alex/ale37.xml,34,[2.669826224328594], zero 
10,Providence/Alex/ale49.xml,40,[3.1227436823104693], two zero zero three 
11,Providence/Ethan/eth20.xml,20,[2.836244541484716], the show is at two o clock and it s twelve oh zero nine 
12,Providence/Ethan/eth25.xml,22,[3.8], and sleep in zero gravity when you re in a space ship you float in the air 
13,Providence/Ethan/eth44.xml,32,[3.0706401766004414], there s the number eight there s the number two number two again there s a zero and there s the three 
14,Providence/Ethan/eth47.xml,34,[3.943469785575049], so he is floating up woo this is fun zero gravity is fun     
15,Providence/Ethan/eth47.xml,34,[3.943469785575049], the spaceship could float away too i guess in zero gravity 
16,Providence/Lily/lil26.xml,24,[2.7415506958250497], zero very good honey 
17,Providence/Lily/lil36.xml,27,[4.625], okay it s two zero two 
18,Providence/Lily/lil37.xml,28,[5.458471760797342], zero 
19,Providence/Lily/lil49b.xml,31,[5.682568807339449], it s zero 
20,Providence/Lily/lil57.xml,33,[3.7886904761904763], but it can be hundreds of degrees below zero during the long nights 
21,Providence/Naima/nai26.xml,20,[3.3815028901734103], where is the zero is the zero lost 
22,Providence/Naima/nai26.xml,20,[3.3815028901734103], oh you have it in yer your hand a red zero 
23,Providence/Naima/nai39.xml,24,[4.101045296167247], you don t really have to borrow that i think that s a zero in front of mommy 
24,Providence/Naima/nai77.xml,36,[6.898591549295775], well not zero nursing but you didn t wake up to nurse until four thirty 
25,Providence/Naima/nai79.xml,37,[4.844444444444444], zero     on the cape 
26,Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine 
27,Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine 
28,Providence/Violet/vio36.xml,31,[4.374647887323944], and sleep in zero gravity 
29,Providence/Violet/vio43.xml,35,[4.235772357723577], see a one and a zero makes ten 
30,Providence/William/wil26.xml,30,[2.639784946236559], ten is a one and a zero 
0,Sawyer/2-07-92.xml,[None],[0], five four three two one zero blastoff 
0,Snow/800518.xml,45,[3.634831460674157], zero 
0,Valian/18a.xml,29,[4.727748691099476], yeah it goes one to ten and no zero to nine zero to nine 
0,Weist/Matt/mat23.xml,40,[3.938775510204082], five cents five o zero 
1,Weist/Matt/mat23.xml,40,[3.938775510204082], five o zero nine 
2,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars 
3,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars each ringing them up 
4,Weist/Matt/mat46.xml,53,[5.946666666666666], but each one only costs like zero cents right 
5,Weist/Matt/mat56.xml,60,[7.684210526315789], you may have one two or zero and i don t want to hear about any more it s starting to make me feel like you re not doing a good job 
6,Weist/Roman/rom42.xml,56,[5.9245283018867925], zero zero six 
