fileid,age,mlu,utterance
Post/Lew/lew02.xml,24,[1.6917808219178083], three five zero 
Post/Lew/lew02.xml,24,[1.6917808219178083], mash the five now the zero 
Post/Lew/lew02.xml,24,[1.6917808219178083], you can mash all at once three five zero 
Post/Tow/tow01.xml,19,[1.871212121212121], zero 
Gleason/Father/charlie.xml,36,[4.266666666666667], zero if it s a number right 
Gleason/Father/charlie.xml,36,[4.266666666666667], oh that s a zero 
Gleason/Father/charlie.xml,36,[4.266666666666667], five and zero 
Gleason/Father/charlie.xml,36,[4.266666666666667], when you see five and zero together it s a fifty 
Gleason/Father/charlie.xml,36,[4.266666666666667], zero 
Gleason/Father/eddie.xml,[None],[3.986899563318777], okay hit that zero 
Gleason/Father/guy.xml,37,[3.1677018633540373], zero 
Gleason/Father/guy.xml,37,[3.1677018633540373], zero 
Gleason/Father/guy.xml,37,[3.1677018633540373], zero means that we would get it for nothing 
Gleason/Father/guy.xml,37,[3.1677018633540373], do you know what five zero says 
Gleason/Father/guy.xml,37,[3.1677018633540373], and what s five zero 
Gleason/Father/helen.xml,59,[5.256756756756757], zero 
Gleason/Mother/helen.xml,59,[4.792642140468227], no that s zero 
Gleason/Mother/isadora.xml,42,[4.064655172413793], that s a zero 
Gleason/Mother/martin.xml,30,[2.930817610062893], that s number one zero 
Gleason/Mother/theresa.xml,48,[5.557620817843866], that s a zero 
Gleason/Mother/theresa.xml,48,[5.557620817843866], that s zero 
Gleason/Mother/theresa.xml,48,[5.557620817843866], for zero i ll take it 
Providence/Alex/ale09.xml,21,[1.6873239436619718], zero 
Providence/Alex/ale10.xml,21,[1.9292035398230087], what s zero 
Providence/Alex/ale14.xml,23,[1.4817518248175183], thaza that is a zero 
Providence/Alex/ale14.xml,23,[1.4817518248175183], o oh zero 
Providence/Alex/ale14.xml,23,[1.4817518248175183], where s your zero 
Providence/Alex/ale14.xml,23,[1.4817518248175183], zero 
Providence/Alex/ale19.xml,26,[1.7857142857142858], zero 
Providence/Alex/ale35.xml,33,[2.6504065040650406], zero nine zero seven 
Providence/Alex/ale37.xml,34,[2.669826224328594], what s that supposed to be oh a zero 
Providence/Alex/ale37.xml,34,[2.669826224328594], zero 
Providence/Alex/ale49.xml,40,[3.1227436823104693], two zero zero three 
Providence/Ethan/eth20.xml,20,[2.836244541484716], the show is at two o clock and it s twelve oh zero nine 
Providence/Ethan/eth25.xml,22,[3.8], and sleep in zero gravity when you re in a space ship you float in the air 
Providence/Ethan/eth44.xml,32,[3.0706401766004414], there s the number eight there s the number two number two again there s a zero and there s the three 
Providence/Ethan/eth47.xml,34,[3.943469785575049], so he is floating up woo this is fun zero gravity is fun     
Providence/Ethan/eth47.xml,34,[3.943469785575049], the spaceship could float away too i guess in zero gravity 
Providence/Lily/lil26.xml,24,[2.7415506958250497], zero very good honey 
Providence/Lily/lil36.xml,27,[4.625], okay it s two zero two 
Providence/Lily/lil37.xml,28,[5.458471760797342], zero 
Providence/Lily/lil49b.xml,31,[5.682568807339449], it s zero 
Providence/Lily/lil57.xml,33,[3.7886904761904763], but it can be hundreds of degrees below zero during the long nights 
Providence/Naima/nai26.xml,20,[3.3815028901734103], where is the zero is the zero lost 
Providence/Naima/nai26.xml,20,[3.3815028901734103], oh you have it in yer your hand a red zero 
Providence/Naima/nai39.xml,24,[4.101045296167247], you don t really have to borrow that i think that s a zero in front of mommy 
Providence/Naima/nai77.xml,36,[6.898591549295775], well not zero nursing but you didn t wake up to nurse until four thirty 
Providence/Naima/nai79.xml,37,[4.844444444444444], zero     on the cape 
Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine 
Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine 
Providence/Violet/vio36.xml,31,[4.374647887323944], and sleep in zero gravity 
Providence/Violet/vio43.xml,35,[4.235772357723577], see a one and a zero makes ten 
Providence/William/wil26.xml,30,[2.639784946236559], ten is a one and a zero 
HSLLD/HV1/MT/jesmt1.xml,43,[5.338028169014085], and zero was standing at zero feet     
HSLLD/HV1/MT/kevmt1.xml,46,[3.978723404255319], was that the kid gets off mom wants the the zero and the the thing goes like that 
HSLLD/HV1/TP/nedtp1.xml,59,[3.1666666666666665], four two seven one o zero one no four two seven two one seven five 
HSLLD/HV1/TP/shotp1.xml,43,[3.4953271028037385], zero 
HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], zero on the floor 
HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], zero on the floor 
HSLLD/HV2/MT/rosmt2.xml,57,[5.1976744186046515], maybe she s a three with a zero after the three 
HSLLD/HV2/TP/nictp2.xml,53,[3.3838862559241707], that s a one and a zero 
HSLLD/HV3/MT/anamt3.xml,70,[5.03125], eight eight nine one one zero zero three 
