,fileid,age,mlu,utterance
0,Bliss/nortrevo.xml,51,[5.837037037037037], eight seven nine seven six five zero 
1,Braunwald/0diary/020109.xml,25,[4.5], six six one zero six 
2,Braunwald/0diary/030405.xml,40,[5.636363636363637], i fell off a million times of this 
3,Brown/Adam/adam17.xml,35,[3.941265060240964], zero 
4,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that zero beat you 
5,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that zero 
6,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that no zero dat that blue 
7,Brown/Adam/adam19.xml,36,[4.303398058252427], zero 
8,Brown/Adam/adam19.xml,36,[4.303398058252427], one two three zero 
9,Brown/Adam/adam44.xml,51,[5.919860627177701], zero 
10,Brown/Adam/adam44.xml,51,[5.919860627177701], zero two 
11,Brown/Adam/adam47.xml,52,[5.945668135095448], six zero five a b 
12,Brown/Adam/adam52.xml,57,[5.92991452991453], one seven zero 
13,Brown/Sarah/sarah111.xml,54,[5.4600760456273765], a thousand tablecloth 
14,Brown/Sarah/sarah111.xml,54,[5.4600760456273765], an an you can put it there for thousand days 
15,Brown/Sarah/sarah115.xml,55,[4.569377990430622], a zero 
16,Brown/Sarah/sarah115.xml,55,[4.569377990430622], zero 
17,Brown/Sarah/sarah115.xml,55,[4.569377990430622], a zero 
18,Brown/Sarah/sarah115.xml,55,[4.569377990430622], um zero 
19,Brown/Sarah/sarah115.xml,55,[4.569377990430622], how d you know i wanted a zero 
20,Brown/Sarah/sarah136.xml,61,[5.21505376344086], you want zero or um 
21,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or a o 
22,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or a   
23,Brown/Sarah/sarah136.xml,61,[5.21505376344086], y want zero or a   
24,Brown/Sarah/sarah136.xml,61,[5.21505376344086], that means you have to you want a zero 
25,Brown/Sarah/sarah136.xml,61,[5.21505376344086], i i want zero 
26,Brown/Sarah/sarah136.xml,61,[5.21505376344086], i want zero i said 
27,Brown/Sarah/sarah136.xml,61,[5.21505376344086], you re zero 
28,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], a zero 
29,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], a zero 
30,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], i ll have a zero okay 
31,Clark/shem16.xml,31,[6.876923076923077], i turn it to zero 
32,Clark/shem16.xml,31,[6.876923076923077], turn it to zero wha dis this 
33,Cornell/lsno121.xml,60,[5.175438596491228], six and zero 
34,Cornell/lsno121.xml,60,[5.175438596491228], and you have a thousand little ones and none big ones 
35,Cornell/lsno121.xml,60,[5.175438596491228], a thousand 
36,Gleason/Dinner/frank.xml,62,[4.34], three three three seven nine eight zero 
37,Gleason/Dinner/theresa.xml,51,[7.203125], um do you know that three million whales died 
38,Gleason/Father/charlie.xml,36,[4.266666666666667], zero 
39,Gleason/Father/guy.xml,37,[3.1677018633540373], zero 
40,Gleason/Father/guy.xml,37,[3.1677018633540373], zero zero zero 
41,Gleason/Father/guy.xml,37,[3.1677018633540373], five zero 
42,Gleason/Father/guy.xml,37,[3.1677018633540373], zero 
43,Gleason/Father/helen.xml,59,[5.256756756756757], i got zero 
44,Gleason/Mother/david.xml,50,[4.95], one thousand 
45,Gleason/Mother/eddie.xml,51,[4.32], um one and zero 
46,Gleason/Mother/eddie.xml,51,[4.32], a zero 
47,Gleason/Mother/guy.xml,37,[3.751152073732719], zero 
48,Gleason/Mother/helen.xml,59,[4.792642140468227], it s five and zero 
49,Gleason/Mother/theresa.xml,48,[5.557620817843866], zero 
50,HSLLD/HV2/MT/anamt2.xml,59,[5.402298850574713], i said it a thousand times 
51,HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], a zero 
52,HSLLD/HV2/MT/joemt2.xml,49,[5.0], thousand island 
53,HSLLD/HV2/MT/petmt2.xml,55,[5.282828282828283], i did seven zero six six five two one nine 
54,HSLLD/HV2/TP/emitp2.xml,51,[4.804878048780488], zero two five six six two one 
55,HSLLD/HV3/ET/teret3.xml,67,[4.617283950617284], zero 
56,HSLLD/HV3/ET/treet3.xml,67,[4.617283950617284], zero 
57,HSLLD/HV3/MT/kurmt3.xml,67,[4.425531914893617], at six zero 
58,HSLLD/HV3/MT/sarmt3.xml,65,[5.025477707006369], a thousand island 
59,HSLLD/HV5/MT/davmt5.xml,88,[4.932038834951456], million two million     game 
60,HSLLD/HV5/MT/davmt5.xml,88,[4.932038834951456], baseball     one zero zero one zero zero zero 
61,HSLLD/HV5/MT/davmt5.xml,88,[4.932038834951456], one point zero zero zero because it s a     when you pitch it um     
62,HSLLD/HV7/ET/vicet7.xml,116,[4.648888888888889], it s it was born in nineteen eighty six twenty two thousand 
63,HSLLD/HV7/ET/vicet7.xml,116,[4.648888888888889], this was born twenty two thousand years ago 
64,HSLLD/HV7/ET/vicet7.xml,116,[4.648888888888889], eighteen thousand 
65,HSLLD/HV7/LW/jeblw7.xml,109,[6.148936170212766], and you just have to take little sips every five thousand hours 
66,HSLLD/HV7/MD/jammt7.xml,124,[7.396341463414634], well see on the tv it says two three o zero zero 
67,HSLLD/HV7/MT/bobmt7.xml,123,[6.666666666666667], i wish i had a thousand b bo es of apple jacks and put them out the room and dump milk in 
68,HSLLD/HV7/MT/paumt7.xml,133,[7.462264150943396], you ve heard it a million times 
69,HSLLD/HV7/MT/rosmt7.xml,117,[5.615384615384615], thousand islands dressing 
70,HSLLD/HV7/MT/tommt7.xml,114,[7.12962962962963], well um jackie was making fun of and it ended up jackie guessed three thousand five hundred and twenty six 
71,Hall/BlackPro/bom.xml,57,[5.361251725724804], six million dollar man thing 
